5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR31
002  101 2  B33 0 0 0 			25 	2  1 2    -0.3197  0.331658
003  102 2  B33 0 0 0	 		10 	2  1 2    1.0842  0.343621 
004  103 2  B31 0 0 0			10	2  1 2   0.8557   0.341739
005  104 2  B33 0 0 0			22	2  1 2    1.4940  0.341390 
006  105 2  B33 0 0 0	 		15    	2  1 2    0.9143  0.327674 
007  106 2  B33 0 0 0	 		15	2  1 2    0.3752  0.335539  
008  107 2  B33 0 0 0	 		15	2  1 2    5.3396 0.335219
009  108 2  B33 0 0 0	 		18	2  1 2    -2.3906 0.323935
000  109 1  B33 0 0 0 			10 	1  1 2    -0.0000  1.000000 
001  110 1  B33 0 0 0  		10 	0  1 2     4.8504  0.966923 
#
102  111 2  G33 -31 0 0    		12	1  1 2    0.9072  0.339798
103  112 2  G33 -31 0 0		14	1  1 2  -1.6157  0.345902
104  113 2  G33 -31 0 0		17	2  1 2   0.0039  0.338143
105  114 2  G33 -31 0 0		16	2  1 2  -4.0855  0.345208
106  115 2  G33 -31 0 0		20	2  1 2   2.2895  0.339315
107  116 2  G33 -31 0 0		15	2  1 2   1.7575  0.344539 
108  117 2  G33 -31 0 0		14	2  1 2   0.5386  0.346336 
109  118 2  G33 -31 0 0		12	2  1 2   -1.383  0.341127
100  119 1  G33 -31 0 0		20	1  1 2   3.2195  0.331088
101  120 1  G33 -31 0 0 	        20	0  1 2  0.6154  0.983397    
#
202  121 2  R31 -52 0 0		16	2  1 2    0.4790  0.328903   
203  122 2  R31 -52 0 0		19	2  1 2   -0.1344  0.335295  
204  123 2  R31 -52 0 0		14	2  1 2   0.8675  0.325451 
205  124 2  R31 -52 0 0		15	2  1 2    1.9435  0.321406   
206  125 2  R31 -52 0 0		15	2  1 2    0.9866  0.336246   
207  126 2  R31 -52 0 0		15	2  1 2   -1.9765  0.324614  
208  127 2  R31 -52 0 0		15	2  1 2   -0.2085  0.339001  
209  128 2  R31 -52 0 0		15	2  1 2   -2.4192 0.330361 
200  129 1  R31 -52 0 0		11	1  1 2    -0.7574 0.324614
201  130 1  R31 -52 0 0		10	0  1 2     1.0789  0.942775 
#
302  131 2  W31 -72 0 0		15	2  1 2  -2.2934  0.337487 
303  132 2  W31 -72 0 0		15	2  1 2   1.1651  0.331369
304  133 2  W31 -72 0 0		15	2  1 2 1.5477  0.339401
305  134 2  W31 -72 0 0		15	2  1 2  2.5227  0.336275 
306  135 2  W31 -72 0 0		15	2  1 2  -0.0050  0.332592 
307  136 2  W31 -72 0 0		15	2  1 2    3.3454  0.339179
308  137 2  W31 -72 0 0		15	2  1 2 -2.1576  0.338822
309  138 2  W31 -72 0 0		15	2  1 2   3.8925 0.322407
300  139 1  W31 -72 0 0		15	1  1 2  -1.0268  0.343533
301  140 1  W31 -72 0 0		10	0  1 2  3.1616  0.983806 
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
